simbolo,coingecko_id,ticker,multiplicador,mcap_rank,ambiguo,dudoso,nota
0GUSDT,zero-gravity,0G,1.0,569,0,0,
1000000BOBUSDT,bob-build-on-bitcoin,BOB,1000000.0,1031,1,0,4 candidatos
1000000MOGUSDT,mog-coin,MOG,1000000.0,510,0,0,
1000BONKUSDT,bonk,BONK,1000.0,158,0,0,
1000BTTCUSDT,,BTTC,1000.0,,0,1,sin match en el ranking
1000CATUSDT,simon-s-cat,CAT,1000.0,1061,1,0,4 candidatos
1000CHEEMSUSDT,cheems-token,CHEEMS,1000.0,255,0,0,
1000FLOKIUSDT,floki,FLOKI,1000.0,162,0,0,
1000LUNCUSDT,terra-luna,LUNC,1000.0,137,0,0,
1000PEPEUSDT,pepe,PEPE,1000.0,64,1,0,5 candidatos
1000RATSUSDT,,RATS,1000.0,,0,1,sin match en el ranking
1000SATSUSDT,sats-ordinals,SATS,1000.0,764,0,0,
1000SHIBUSDT,shiba-inu,SHIB,1000.0,36,1,0,3 candidatos
1000WHYUSDT,why,WHY,1000.0,3155,0,1,RANK PROFUNDO (3155) — verificar a mano
1000XECUSDT,ecash,XEC,1000.0,216,0,0,
1000XUSDT,talex,X,1000.0,3008,1,1,2 candidatos; RANK PROFUNDO (3008) — verificar a mano
1INCHUSDT,1inch,1INCH,1.0,232,0,0,
1MBABYDOGEUSDT,baby-doge-coin,BABYDOGE,1000000.0,367,0,0,
2ZUSDT,doublezero,2Z,1.0,176,0,0,
42USDT,42-coin,42,1.0,3104,0,1,RANK PROFUNDO (3104) — verificar a mano
4USDT,4-2,4,1.0,1149,0,0,
A2ZUSDT,,A2Z,1.0,,0,1,sin match en el ranking
AAOIUSDT,,AAOI,1.0,,0,1,sin match en el ranking
AAPLUSDT,apple-robinhood-tokenized-stock,AAPL,1.0,2330,0,1,RANK PROFUNDO (2330) — verificar a mano
AAVEUSDT,aave,AAVE,1.0,52,0,0,
ACEUSDT,endurance,ACE,1.0,1005,0,0,
ACHUSDT,,ACH,1.0,,0,1,sin match en el ranking
ACTUSDT,act-i-the-ai-prophecy,ACT,1.0,1207,1,0,3 candidatos
ACUUSDT,acurast,ACU,1.0,545,0,0,
ACXUSDT,across-protocol,ACX,1.0,645,0,0,
ADAUSDT,cardano,ADA,1.0,17,0,0,
ADBEUSDT,,ADBE,1.0,,0,1,sin match en el ranking
AERGOUSDT,,AERGO,1.0,,0,1,sin match en el ranking
AEROUSDT,aerodrome-finance,AERO,1.0,107,0,0,
AEVOUSDT,aevo-exchange,AEVO,1.0,848,0,0,
AGIXUSDT,singularitynet,AGIX,1.0,970,0,0,
AGLDUSDT,adventure-gold,AGLD,1.0,971,0,0,
AGTUSDT,,AGT,1.0,,0,1,sin match en el ranking
AI16ZUSDT,,AI16Z,1.0,,0,1,sin match en el ranking
AIAUSDT,aia,AIA,1.0,1365,0,0,
AIGENSYNUSDT,,AIGENSYN,1.0,,0,1,sin match en el ranking
AINUSDT,infinity-ground,AIN,1.0,933,1,0,2 candidatos
AIOTUSDT,okzoo,AIOT,1.0,1137,0,0,
AIOUSDT,olaxbt,AIO,1.0,1193,0,0,
AIUSDT,gensyn,AI,1.0,683,1,0,2 candidatos
AIXBTUSDT,aixbt,AIXBT,1.0,850,0,0,
AKEUSDT,akedo,AKE,1.0,194,0,0,
AKROUSDT,,AKRO,1.0,,0,1,sin match en el ranking
AKTUSDT,akash-network,AKT,1.0,186,0,0,
ALABUSDT,,ALAB,1.0,,0,1,sin match en el ranking
ALCHUSDT,alchemist-ai,ALCH,1.0,734,0,0,
ALGOUSDT,algorand,ALGO,1.0,82,0,0,
ALICEUSDT,my-neighbor-alice,ALICE,1.0,1079,0,0,
ALLOUSDT,allora,ALLO,1.0,344,0,0,
ALLUSDT,sallar-2,ALL,1.0,3351,0,1,RANK PROFUNDO (3351) — verificar a mano
ALPACAUSDT,,ALPACA,1.0,,0,1,sin match en el ranking
ALPHAUSDT,alpha-fi,ALPHA,1.0,1463,1,0,3 candidatos
ALPINEUSDT,alpine-f1-team-fan-token,ALPINE,1.0,1794,0,0,
ALTUSDT,altlayer,ALT,1.0,491,1,0,2 candidatos
AMATUSDT,,AMAT,1.0,,0,1,sin match en el ranking
AMBUSDT,,AMB,1.0,,0,1,sin match en el ranking
AMDUSDT,amd-robinhood-tokenized-stock,AMD,1.0,2781,0,1,RANK PROFUNDO (2781) — verificar a mano
AMZNUSDT,amazon-robinhood-tokenized-stock,AMZN,1.0,2763,0,1,RANK PROFUNDO (2763) — verificar a mano
ANCUSDT,,ANC,1.0,,0,1,sin match en el ranking
ANIMEUSDT,anime,ANIME,1.0,1001,0,0,
ANKRUSDT,ankr,ANKR,1.0,578,0,0,
ANTHROPICUSDT,anthropic-prestocks-2,ANTHROPIC,1.0,1468,0,0,
ANTUSDT,autonomi,ANT,1.0,950,1,0,2 candidatos
APEUSDT,apecoin,APE,1.0,223,0,0,
API3USDT,api3,API3,1.0,671,0,0,
APPUSDT,,APP,1.0,,0,1,sin match en el ranking
APRUSDT,apriori,APR,1.0,205,0,0,
APTUSDT,aptos,APT,1.0,99,0,0,
ARBUSDT,arbitrum,ARB,1.0,97,0,0,
